T (K),a,da/dT
346.48,0,0.00E+00
351.48,0,0.00E+00
356.48,0,0.00E+00
361.48,0,0.00E+00
366.65,0,0.00E+00
371.65,0,0.00E+00
376.65,0,0.00E+00
416.98,0.001719171,7.70E-05
421.98,0.003438451,1.14E-04
426.98,0.003438451,1.87E-04
432.15,0.005157622,2.11E-04
437.15,0.005157622,2.85E-04
442.15,0.006876903,3.44E-04
452.15,0.008596183,1.72E-04
457.32,0.010315354,3.89E-04
462.32,0.013753915,5.78E-04
467.32,0.017192366,6.88E-04
472.32,0.020630818,6.88E-04
477.32,0.024069378,6.73E-04
482.48,0.025788549,0.000678492
487.48,0.029227001,0.000672928
492.48,0.032665561,0.0006877
497.48,0.036104013,0.000777524
502.65,0.041261745,0.000920158
507.65,0.046419476,0.001022357
512.65,0.051577208,0.00106027
517.65,0.058454111,0.001050927
522.65,0.063611842,0.001057051
527.82,0.068769574,0.001016983
532.82,0.073927306,0.001022025
537.82,0.079085038,0.001031546
542.82,0.084242769,0.001022404
547.98,0.089400501,0.000937298
552.98,0.092838953,0.000912539
557.98,0.097996684,0.000833911
562.98,0.101435136,0.000814307
567.98,0.106592867,0.000733899
573.15,0.110031428,0.000723219
578.15,0.11346988,0.000783859
583.15,0.118627611,0.001031541
588.15,0.125504514,0.001254466
593.32,0.132381526,0.00136663
598.32,0.140977709,0.001377203
603.32,0.147854721,0.001440874
608.32,0.156450905,0.001478268
613.32,0.163327807,0.00154191
618.48,0.1719241,0.001540519
623.48,0.178801002,0.001622094
628.48,0.187397186,0.001685444
633.48,0.194274198,0.002419095
638.65,0.214905125,0.003109611
643.65,0.233816771,0.003759137
648.65,0.268201504,0.004358463
653.65,0.295709443,0.004605744
658.65,0.323217273,0.00498643
663.82,0.3438482,0.005507165
668.82,0.376513761,0.005510315
673.82,0.404021591,0.005457341
678.82,0.42981014,0.005333326
683.98,0.457318079,0.005236395
688.98,0.483106629,0.005157396
693.98,0.502018275,0.00447002
698.98,0.520929922,0.003782576
703.98,0.538122397,0.003517677
709.15,0.555314764,0.003327669
714.15,0.57422641,0.00338302
719.15,0.591418886,0.003438455
724.15,0.608611252,0.003403396
729.32,0.625803618,0.003327351
734.32,0.644715265,0.002837287
739.32,0.656750009,0.002300393
744.32,0.66018846,0.001744329
749.32,0.665346192,0.001031708
754.48,0.668784643,0.000781745
759.48,0.672223204,0.000777163
764.48,0.677380936,0.000930531
769.48,0.682538668,0.000974035
774.65,0.685977119,0.000946975
779.65,0.691134851,0.000835678
784.65,0.694573302,0.000762439
789.65,0.698011753,0.000640744
794.65,0.699731034,0.000640171
799.82,0.703169485,0.000626093
804.82,0.706608046,0.000681425
809.82,0.710046497,0.000687696
814.82,0.713484949,0.00068769
819.98,0.713484949,0.000834823
824.98,0.71864268,0.000673051
834.98,0.723800412,0.000515781
839.98,0.725519693,0.000443101
845.15,0.728958144,0.000398819
850.15,0.730677315,0.000344126
860.15,0.735835047,0.000515588
865.32,0.737554327,0.0003922
870.32,0.740992778,0.000364941
875.32,0.742712059,0.000378265
880.32,0.744431339,0.000343853
890.48,0.749588961,0.000507291
895.48,0.751308242,0.000397157
900.48,0.753027522,0.000343856
910.48,0.758185254,0.000515588
915.65,0.759904425,0.000395376
920.65,0.761623705,0.000321179
935.82,0.768500717,0.000440235
940.82,0.770219888,0.000380035
945.82,0.771939169,0.000326674
970.98,0.782254632,0.000432544
975.98,0.782254632,0.000496333
981.15,0.785693084,0.000665468
986.15,0.787412364,0.000442216
991.15,0.789131535,0.000343846
996.15,0.790850815,0.000343843
1001.15,0.792569986,0.000340754
1006.32,0.794289267,0.000339049
1011.32,0.796008547,0.000340674
1016.32,0.797727718,0.000343847
1021.32,0.799446998,0.000340752
1026.48,0.801166279,0.000339053
1031.48,0.80288545,0.000340644
1036.48,0.80460473,0.000345199
1056.65,0.809762462,0.000268884
1061.65,0.811481742,0.000314817
1066.65,0.813200913,0.000354485
1081.82,0.816639365,0.000288474
1086.82,0.818358645,0.000282742
1101.98,0.821797096,0.000287826
1106.98,0.823516377,0.000282118
1122.15,0.826954828,0.000243156
1137.15,0.830393389,0.000229279
1142.32,0.83211256,0.000264961
1152.32,0.83383184,0.000266478
1157.32,0.835551011,0.00024974
1167.48,0.837270292,0.000264238
1172.48,0.838989572,0.000247065
1182.48,0.840708743,0.00026544
1187.65,0.842428023,0.000332682
1202.65,0.845866475,0.000229231
1212.82,0.847585755,0.000169131
1217.82,0.849305036,0.000286756
1222.82,0.851024207,0.000369382
