Temperatura,%,dm/dt
15.67,100.00,0
27.50,99.98,0.017898197
81.33,99.97,0.002017855
98.50,99.98,-0.004938427
43.00,99.97,-0.000665607
111.50,99.94,0.004639986
128.00,99.86,0.047654417
138.67,99.65,0.201207625
150.67,99.25,0.3288623
162.67,98.53,0.599334463
169.83,97.63,1.259916684
177.00,96.66,1.35523642
184.17,95.75,1.26932233
191.33,94.87,1.22420135
198.50,93.90,1.356490332
205.67,92.98,1.288806078
213.67,91.99,1.239222984
224.83,91.06,0.832009611
241.50,90.26,0.4785527
256.67,89.43,0.54462456
269.00,88.63,0.650447297
272.67,87.82,2.206192953
278.67,86.95,1.454612913
285.00,85.61,2.113820187
287.00,85.13,2.41269691
292.17,83.95,2.28607377
296.00,82.86,2.835241033
296.50,81.92,18.85666726
298.33,80.80,6.070418671
300.17,79.69,6.064573476
303.67,78.51,3.372238649
306.17,77.37,4.570649833
308.50,76.21,4.957905899
314.50,75.06,1.922607993
316.33,73.88,6.414907767
318.00,72.82,6.384673453
322.33,70.58,5.158588284
324.50,69.37,5.591335004
330.00,68.79,1.065548384
332.50,67.47,5.269417801
334.83,66.34,4.849494293
337.17,65.20,4.859761876
337.83,63.97,18.42078088
342.00,62.88,2.620158487
344.33,61.65,5.301163402
349.17,60.65,2.05410276
351.50,59.39,5.415359544
356.67,58.53,1.668077377
363.50,56.84,2.472460722
367.33,56.36,1.25152267
372.83,54.86,2.723297285
376.33,54.27,1.699495669
380.00,53.39,2.399901886
385.33,52.33,1.973882356
390.67,51.44,1.672148869
397.00,50.46,1.552466108
401.83,49.46,2.059532419
411.33,48.58,0.930685355
425.67,47.58,0.70002145
437.67,46.84,0.614101362
449.67,45.82,0.851585527
461.00,44.93,0.783275275
474.17,44.17,0.579756198
487.83,43.21,0.698925661
499.00,42.14,0.957556698
509.33,41.15,0.961830131
522.50,40.23,0.699309408
534.50,39.26,0.803867722
551.17,38.45,0.487662604
562.00,37.56,0.822315312
575.17,36.66,0.683160205
591.83,35.80,0.513269148
603.83,34.89,0.758879605
617.00,34.05,0.641881321
629.00,33.25,0.661132507
643.33,32.40,0.594406966
658.83,31.56,0.542992898
670.83,30.77,0.661307581
684.67,29.95,0.590772379
695.83,29.14,0.725857605
716.17,28.36,0.382187136
730.83,27.60,0.515969938
742.83,26.88,0.606486597
758.83,26.17,0.440413477
776.17,25.51,0.380772326
791.50,24.87,0.419007536
805.83,24.25,0.432631462
820.17,23.66,0.413619032
833.83,23.10,0.40893815
851.33,22.56,0.305869981
864.83,22.03,0.39359222
882.33,21.50,0.304862192
898.00,20.98,0.329729885
914.17,20.49,0.301091465
930.83,19.96,0.320274764
947.00,19.47,0.301384236
961.83,18.84,0.427686218
971.33,18.24,0.628800231
979.83,17.56,0.80453852
988.83,16.95,0.678115362
1003.17,16.38,0.398246759
