T (K),a,da/dT
346.9833333,0,0
351.9833333,0,0
356.9833333,0,0
361.9833333,0,0
366.9833333,0,0
371.9833333,0,0
376.9833333,0,0
381.9833333,0,0
427.15,0.003432918,7.60056E-05
437.15,0.005149377,0.000171646
442.15,0.006865835,0.000343292
452.15,0.008582294,0.000171646
462.15,0.012015212,0.000343292
467.15,0.01544813,0.000686584
472.15,0.018881047,0.000686584
477.3166667,0.022313965,0.000664436
482.3166667,0.025746992,0.000686605
487.3166667,0.02917991,0.000686584
492.3166667,0.032612828,0.000686584
497.3166667,0.036045745,0.000686584
502.3166667,0.039478663,0.000686584
507.3166667,0.04462804,0.001029875
512.3166667,0.049777416,0.001029875
517.3166667,0.054926793,0.001029875
522.3166667,0.060076279,0.001029897
527.3166667,0.066942114,0.001373167
532.3166667,0.072091491,0.001029875
537.3166667,0.077240867,0.001029875
542.4833333,0.082390244,0.000996654
547.4833333,0.089256079,0.001373167
552.4833333,0.092688997,0.000686584
557.4833333,0.097838483,0.001029897
562.4833333,0.101271401,0.000686584
567.4833333,0.106420777,0.001029875
572.4833333,0.109853695,0.000686584
577.4833333,0.113286613,0.000686584
582.4833333,0.118435989,0.001029875
587.4833333,0.121868907,0.000686584
592.4833333,0.128734742,0.001373167
597.4833333,0.137317146,0.001716481
602.4833333,0.14589944,0.001716459
607.65,0.154481735,0.001661089
612.65,0.163064029,0.001716459
617.65,0.173362892,0.002059773
622.65,0.181945186,0.001716459
627.65,0.19052748,0.001716459
632.65,0.199109774,0.001716459
637.65,0.207692178,0.001716481
642.65,0.228289684,0.004119501
647.65,0.255753135,0.00549269
652.65,0.281500128,0.005149398
657.65,0.308963579,0.00549269
662.65,0.336426921,0.005492668
667.65,0.362173913,0.005149398
672.8166667,0.389637364,0.005315507
677.8166667,0.417100815,0.00549269
682.8166667,0.442847698,0.005149377
687.8166667,0.470311149,0.00549269
692.8166667,0.496058141,0.005149398
697.8166667,0.51322273,0.003432918
702.8166667,0.530387428,0.00343294
707.8166667,0.545835558,0.003089626
712.8166667,0.561283797,0.003089648
717.8166667,0.576731926,0.003089626
722.8166667,0.593896624,0.00343294
727.8166667,0.609344754,0.003089626
732.8166667,0.624792993,0.003089648
737.9833333,0.641957582,0.003322178
742.9833333,0.653972794,0.002403042
747.9833333,0.65912228,0.001029897
752.9833333,0.662555197,0.000686584
757.9833333,0.667704574,0.001029875
762.9833333,0.671137492,0.000686584
767.9833333,0.676286868,0.001029875
772.9833333,0.681436245,0.001029875
777.9833333,0.686585621,0.001029875
782.9833333,0.690018539,0.000686584
787.9833333,0.693451566,0.000686605
792.9833333,0.696884484,0.000686584
797.9833333,0.700317402,0.000686584
803.15,0.703750319,0.000664436
808.15,0.707183237,0.000686584
813.15,0.710616155,0.000686584
818.15,0.714049073,0.000686584
823.15,0.71748199,0.000686584
828.15,0.720914908,0.000686584
833.15,0.722631367,0.000343292
838.15,0.726064284,0.000686584
843.15,0.727780743,0.000343292
848.15,0.731213771,0.000686605
853.15,0.734646688,0.000686584
858.15,0.736363147,0.000343292
863.3166667,0.739796065,0.000664436
868.3166667,0.741512524,0.000343292
873.3166667,0.744945441,0.000686584
878.3166667,0.7466619,0.000343292
883.3166667,0.750094818,0.000686584
888.3166667,0.751811277,0.000343292
893.3166667,0.755244194,0.000686584
898.3166667,0.756960653,0.000343292
903.3166667,0.760393571,0.000686584
908.3166667,0.76211003,0.000343292
913.3166667,0.765543057,0.000686605
918.3166667,0.767259516,0.000343292
928.4833333,0.772408893,0.000506496
933.4833333,0.774125351,0.000343292
938.4833333,0.777558269,0.000686584
943.4833333,0.779274728,0.000343292
948.4833333,0.780991187,0.000343292
953.4833333,0.784424104,0.000686584
958.4833333,0.786140563,0.000343292
963.4833333,0.787857022,0.000343292
973.4833333,0.793006399,0.000514938
978.4833333,0.794722858,0.000343292
983.4833333,0.796439316,0.000343292
993.65,0.801588802,0.000506507
998.65,0.803305261,0.000343292
1003.65,0.80502172,0.000343292
1008.65,0.806738179,0.000343292
1028.65,0.815320473,0.000429115
1033.65,0.817036932,0.000343292
1038.65,0.818753391,0.000343292
1043.65,0.82046985,0.000343292
1048.65,0.822186309,0.000343292
1053.65,0.823902768,0.000343292
1058.816667,0.825619226,0.000332218
1063.816667,0.827335685,0.000343292
1098.816667,0.837634548,0.000294253
1103.816667,0.839351007,0.000343292
1108.816667,0.841067466,0.000343292
1113.816667,0.842783924,0.000343292
1133.983333,0.847933301,0.000255341
1138.983333,0.84964976,0.000343292
1143.983333,0.851366219,0.000343292
1158.983333,0.854799136,0.000228861
1163.983333,0.856515595,0.000343292
1168.983333,0.858232054,0.000343292
1189.15,0.863381431,0.000255341
1194.15,0.86509789,0.000343292
1214.15,0.870247376,0.000257474
1219.15,0.871963834,0.000343292
1224.15,0.873680293,0.000343292
